Time(ms),RPM,RPM_5,RPM_6
2012,0,0,0
2112,187.14,194.29,184.29
2212,440,450,455.71
2312,551.43,550,548.57
2412,588.57,588.57,582.86
2512,607.14,598.57,595.71
2612,615.71,610,608.57
2712,611.43,617.14,605.71
2812,611.43,617.14,621.43
2912,624.29,625.71,622.86
3012,622.86,615.71,618.57
3112,622.86,612.86,617.14
3212,624.29,620,628.57
3312,622.86,622.86,622.86
3412,620,625.71,630
3512,620,624.29,627.14
3612,632.86,627.14,622.86
3712,624.29,621.43,625.71
3812,625.71,621.43,628.57
3912,625.71,620,634.29
4012,625.71,618.57,614.29
4112,621.43,634.29,625.71
4212,625.71,624.29,624.29
4312,625.71,625.71,627.14
4412,620,625.71,628.57
4512,625.71,622.86,618.57
4612,620,622.86,630
4712,624.29,624.29,627.14
4812,625.71,624.29,624.29
4912,628.57,625.71,628.57
5012,631.43,621.43,624.29
5112,628.57,630,621.43
5212,632.86,617.14,628.57
5312,630,621.43,631.43
5412,632.86,624.29,630
5512,634.29,630,621.43
5612,630,618.57,628.57
5712,631.43,624.29,620
5812,632.86,621.43,634.29
5912,630,634.29,628.57
6012,625.71,630,628.57
6112,628.57,627.14,624.29
6212,634.29,634.29,631.43
6312,628.57,631.43,628.57
6412,625.71,625.71,615.71
6512,634.29,631.43,631.43
6612,617.14,625.71,628.57
6712,635.71,625.71,632.86
6812,625.71,622.86,632.86
6912,634.29,637.14,634.29
7012,634.29,628.57,628.57
