Time(ms),RPM
2012,0
2112,192.86
2212,448.57
2312,537.14
2412,582.86
2512,597.14
2612,602.86
2712,611.43
2812,625.71
2912,625.71
3012,618.57
3112,624.29
3212,631.43
3312,628.57
3412,624.29
3512,630
3612,614.29
3712,624.29
3812,621.43
3912,631.43
4012,628.57
4112,628.57
4212,628.57
4312,620
4412,624.29
4512,622.86
4612,625.71
4712,628.57
4812,617.14
4912,624.29
5012,624.29
5112,614.29
5212,627.14
5312,615.71
5412,617.14
5512,624.29
5612,632.86
5712,625.71
5812,630
5912,624.29
6012,628.57
6112,630
6212,630
6312,635.71
6412,632.86
6512,627.14
6612,631.43
6712,630
6812,628.57
6912,627.14
7012,631.43
