time,omega,cmd
9.536743164062500000e-07,0.000000000000000000e+00,1.000000000000000000e+00
4.946327209472656250e-02,0.000000000000000000e+00,1.000000000000000000e+00
9.941291809082031250e-02,2.739587906447971122e+01,1.000000000000000000e+00
1.493670940399169922e-01,4.131715456735391001e+01,-1.000000000000000000e+00
1.993305683135986328e-01,4.972947612791425342e+01,-1.000000000000000000e+00
2.495079040527343750e-01,5.395797050525786887e+01,-1.000000000000000000e+00
2.993562221527099609e-01,4.288050636179433184e+01,-1.000000000000000000e+00
3.493380546569824219e-01,1.161347047298596635e+01,1.000000000000000000e+00
3.994436264038085938e-01,-2.060646555719560524e+01,1.000000000000000000e+00
4.493227005004882812e-01,-4.085559356137626708e+01,1.000000000000000000e+00
4.995040893554687500e-01,-3.376839875991302620e+01,1.000000000000000000e+00
5.493798255920410156e-01,-7.206307319134876543e+00,1.000000000000000000e+00
5.992078781127929688e-01,2.394161605200183374e+01,1.000000000000000000e+00
6.493065357208251953e-01,5.598288330567593363e+01,-1.000000000000000000e+00
6.993632316589355469e-01,7.623201130985657414e+01,-1.000000000000000000e+00
7.494230270385742188e-01,6.896614773188586867e+01,-1.000000000000000000e+00
7.993433475494384766e-01,4.270183758528684592e+01,-1.000000000000000000e+00
8.493413925170898438e-01,1.137524543764265594e+01,1.000000000000000000e+00
8.993201255798339844e-01,-2.102335936904638558e+01,1.000000000000000000e+00
9.493970870971679688e-01,-4.127248737322703676e+01,1.000000000000000000e+00
9.994397163391113281e-01,-3.400662379525633128e+01,1.000000000000000000e+00
1.049248695373535156e+00,-7.742313648657310310e+00,1.000000000000000000e+00
1.099341630935668945e+00,2.346516598131523068e+01,1.000000000000000000e+00
1.149278402328491211e+00,5.604243956451175279e+01,-1.000000000000000000e+00
1.199503660202026367e+00,7.629156756869241462e+01,-1.000000000000000000e+00
1.249389648437500000e+00,6.902570399072170915e+01,-1.000000000000000000e+00
1.299462080001831055e+00,4.270183758528686013e+01,-1.000000000000000000e+00
1.349409103393554688e+00,1.131568917880683856e+01,1.000000000000000000e+00
1.399500608444213867e+00,-2.120202814555386084e+01,1.000000000000000000e+00
1.449506521224975586e+00,-4.168938118507782065e+01,1.000000000000000000e+00
1.499437570571899414e+00,-3.418529257176381719e+01,1.000000000000000000e+00
1.549317598342895508e+00,-7.980538684000611838e+00,1.000000000000000000e+00
1.599344730377197266e+00,2.346516598131522713e+01,1.000000000000000000e+00
1.649315357208251953e+00,5.592332704684010736e+01,-1.000000000000000000e+00
1.699487924575805664e+00,7.641068008636406717e+01,-1.000000000000000000e+00
1.749316453933715820e+00,6.908526024955753542e+01,-1.000000000000000000e+00
1.799350261688232422e+00,4.299961887946598438e+01,-1.000000000000000000e+00
1.849319934844970703e+00,1.161347047298596635e+01,1.000000000000000000e+00
1.899525403976440430e+00,-2.090424685137473304e+01,1.000000000000000000e+00
1.949394702911376953e+00,-4.139159989089869640e+01,1.000000000000000000e+00
1.999323844909667969e+00,-3.412573631292798382e+01,1.000000000000000000e+00
2.049351453781127930e+00,-8.040094942836436331e+00,1.000000000000000000e+00
2.099410533905029297e+00,2.346516598131523068e+01,1.000000000000000000e+00
2.149391889572143555e+00,5.598288330567593363e+01,-1.000000000000000000e+00
2.199410915374755859e+00,7.647023634519989344e+01,-1.000000000000000000e+00
2.249327182769775391e+00,6.956171032024414558e+01,-1.000000000000000000e+00
2.299284458160400391e+00,4.353562520898841370e+01,-1.000000000000000000e+00
2.349331140518188477e+00,1.208992054367257296e+01,1.000000000000000000e+00
2.399486541748046875e+00,-2.048735303952395981e+01,1.000000000000000000e+00
2.449352264404296875e+00,-4.115337485555539132e+01,1.000000000000000000e+00
2.499323844909667969e+00,-3.472129890128623941e+01,1.000000000000000000e+00
2.549286365509033203e+00,-8.754770048866342691e+00,1.000000000000000000e+00
2.599401473999023438e+00,2.263137835761367356e+01,1.000000000000000000e+00
2.649399518966674805e+00,5.532776445848185176e+01,-1.000000000000000000e+00
2.699272632598876953e+00,7.593423001567745700e+01,-1.000000000000000000e+00
2.749292373657226562e+00,6.932348528490084050e+01,-1.000000000000000000e+00
2.799257516860961914e+00,4.335695643248093489e+01,-1.000000000000000000e+00
2.849439382553100586e+00,1.203036428483674136e+01,1.000000000000000000e+00
2.899438858032226562e+00,-2.036824052185230727e+01,1.000000000000000000e+00
2.949263334274291992e+00,-4.109381859671957216e+01,1.000000000000000000e+00
2.999279022216796875e+00,-3.406618005409215755e+01,1.000000000000000000e+00
3.049269199371337891e+00,-8.337876237015564129e+00,1.000000000000000000e+00
3.099439144134521484e+00,2.298871591062862763e+01,1.000000000000000000e+00
3.149339675903320312e+00,5.544687697615349720e+01,-1.000000000000000000e+00
3.199242591857910156e+00,7.617245505102076208e+01,-1.000000000000000000e+00
3.249257802963256836e+00,6.896614773188588288e+01,-1.000000000000000000e+00
3.299360752105712891e+00,4.294006262063015811e+01,-1.000000000000000000e+00
3.349398374557495117e+00,1.161347047298596635e+01,1.000000000000000000e+00
3.399360418319702148e+00,-2.161892195740464118e+01,1.000000000000000000e+00
3.449325084686279297e+00,-4.240405629110772168e+01,1.000000000000000000e+00
3.499327421188354492e+00,-3.567419904265945263e+01,1.000000000000000000e+00
3.549332141876220703e+00,-9.409888896060426333e+00,1.000000000000000000e+00
3.599509477615356445e+00,2.251226583994202102e+01,1.000000000000000000e+00
3.649316310882568359e+00,5.508953942313854668e+01,-1.000000000000000000e+00
3.699347972869873047e+00,7.587467375684163073e+01,-1.000000000000000000e+00
3.749332904815673828e+00,6.890659147305005661e+01,-1.000000000000000000e+00
