time,omega,cmd
7.152557373046875000e-07,0.000000000000000000e+00,0.000000000000000000e+00
4.995965957641601562e-02,3.737155241948048001e+01,0.000000000000000000e+00
9.984326362609863281e-02,5.111912216741685455e+01,0.000000000000000000e+00
1.497817039489746094e-01,5.642955524694462355e+01,0.000000000000000000e+00
1.998393535614013672e-01,5.860335869445225399e+01,0.000000000000000000e+00
2.499861717224121094e-01,7.093150427346812137e+01,0.000000000000000000e+00
2.998888492584228516e-01,6.723901622564694947e+01,0.000000000000000000e+00
3.498263359069824219e-01,6.164072789507935113e+01,0.000000000000000000e+00
3.998565673828125000e-01,5.634022085869088414e+01,0.000000000000000000e+00
4.498805999755859375e-01,5.109927008113824343e+01,0.000000000000000000e+00
4.998786449432373047e-01,4.597743182125724815e+01,0.000000000000000000e+00
5.498390197753906250e-01,4.109381859671956505e+01,0.000000000000000000e+00
5.997443199157714844e-01,3.644843040752517993e+01,0.000000000000000000e+00
6.498367786407470703e-01,3.186259847716662463e+01,0.000000000000000000e+00
6.998827457427978516e-01,2.745543532331553394e+01,0.000000000000000000e+00
7.498543262481689453e-01,2.328649720480775187e+01,0.000000000000000000e+00
7.998008728027343750e-01,1.911755908629996981e+01,0.000000000000000000e+00
8.497800827026367188e-01,1.518684600313549460e+01,0.000000000000000000e+00
8.997576236724853516e-01,1.137524543764266305e+01,0.000000000000000000e+00
9.499402046203613281e-01,7.801869907493136580e+00,0.000000000000000000e+00
9.998328685760498047e-01,4.764500706866035884e+00,0.000000000000000000e+00
1.049825191497802734e+00,2.560919129940494976e+00,5.000000000000000000e-01
1.099724769592285156e+00,1.012456400209032825e+00,5.000000000000000000e-01
1.149952411651611328e+00,2.263137835761367622e+00,5.000000000000000000e-01
1.199900388717651367e+00,8.397432495851390399e+00,5.000000000000000000e-01
1.249798059463500977e+00,1.667575247403112826e+01,5.000000000000000000e-01
1.299767255783081055e+00,2.614519762892737731e+01,5.000000000000000000e-01
1.349798917770385742e+00,3.632931788985352739e+01,5.000000000000000000e-01
1.399869441986083984e+00,4.544142549173482593e+01,5.000000000000000000e-01
1.449865818023681641e+00,5.008681368092921105e+01,5.000000000000000000e-01
1.499814033508300781e+00,5.324329539922796073e+01,5.000000000000000000e-01
1.549738407135009766e+00,5.562554575266098311e+01,5.000000000000000000e-01
1.599899768829345703e+00,5.741223351773574279e+01,5.000000000000000000e-01
1.649862527847290039e+00,5.854380243561642772e+01,5.000000000000000000e-01
1.699790954589843750e+00,5.979448387116876518e+01,5.000000000000000000e-01
1.749832868576049805e+00,6.068782775370614502e+01,5.000000000000000000e-01
1.799806356430053711e+00,6.140250285973604605e+01,5.000000000000000000e-01
1.849871397018432617e+00,6.199806544809430164e+01,5.000000000000000000e-01
1.899791002273559570e+00,6.259362803645255724e+01,5.000000000000000000e-01
1.949835300445556641e+00,6.289140933063167438e+01,5.000000000000000000e-01
1.999716043472290039e+00,6.348697191898994419e+01,5.000000000000000000e-01
2.049763679504394531e+00,6.354652817782577046e+01,5.000000000000000000e-01
2.099860191345214844e+00,6.384430947200489470e+01,5.000000000000000000e-01
2.149765491485595703e+00,6.372519695433324216e+01,5.000000000000000000e-01
2.199893712997436523e+00,6.408253450734818557e+01,5.000000000000000000e-01
2.249791622161865234e+00,6.408253450734819978e+01,5.000000000000000000e-01
2.299882173538208008e+00,6.426120328385567859e+01,5.000000000000000000e-01
2.349816322326660156e+00,6.402297824851237351e+01,5.000000000000000000e-01
2.399858951568603516e+00,6.390386573084072097e+01,5.000000000000000000e-01
2.449720621109008789e+00,6.372519695433324216e+01,5.000000000000000000e-01
2.499766111373901367e+00,6.360608443666158252e+01,5.000000000000000000e-01
2.549923181533813477e+00,6.360608443666158252e+01,5.000000000000000000e-01
2.599826097488403320e+00,6.384430947200487338e+01,5.000000000000000000e-01
2.649757385253906250e+00,6.396342198967654724e+01,5.000000000000000000e-01
2.699834585189819336e+00,6.408253450734818557e+01,5.000000000000000000e-01
2.749864339828491211e+00,6.420164702501985232e+01,5.000000000000000000e-01
2.799843549728393555e+00,6.414209076618401184e+01,5.000000000000000000e-01
2.849807262420654297e+00,6.372519695433324216e+01,5.000000000000000000e-01
2.899854183197021484e+00,6.360608443666158252e+01,5.000000000000000000e-01
2.949813365936279297e+00,6.366564069549741589e+01,5.000000000000000000e-01
2.999852895736694336e+00,6.360608443666158252e+01,5.000000000000000000e-01
3.049772977828979492e+00,6.348697191898993708e+01,5.000000000000000000e-01
3.099861621856689453e+00,6.402297824851237351e+01,5.000000000000000000e-01
3.149839401245117188e+00,6.426120328385566438e+01,5.000000000000000000e-01
3.199950695037841797e+00,6.408253450734818557e+01,5.000000000000000000e-01
3.249944686889648438e+00,6.432075954269149065e+01,5.000000000000000000e-01
3.299832820892333984e+00,6.467809709570643406e+01,5.000000000000000000e-01
3.349822998046875000e+00,6.426120328385567859e+01,5.000000000000000000e-01
3.399933815002441406e+00,6.432075954269149065e+01,5.000000000000000000e-01
3.449902772903442383e+00,6.455898457803479573e+01,5.000000000000000000e-01
3.499736785888671875e+00,6.443987206036314319e+01,5.000000000000000000e-01
3.549833536148071289e+00,6.438031580152731692e+01,5.000000000000000000e-01
3.599719524383544922e+00,6.485676587221391287e+01,5.000000000000000000e-01
3.649859189987182617e+00,6.479720961337810081e+01,5.000000000000000000e-01
3.699832439422607422e+00,6.491632213104975335e+01,5.000000000000000000e-01
3.749796152114868164e+00,6.479720961337810081e+01,5.000000000000000000e-01
3.799833536148071289e+00,6.485676587221392708e+01,5.000000000000000000e-01
3.849914312362670898e+00,6.455898457803479573e+01,5.000000000000000000e-01
3.899880170822143555e+00,6.467809709570644827e+01,5.000000000000000000e-01
3.949809312820434570e+00,6.432075954269149065e+01,5.000000000000000000e-01
3.999846696853637695e+00,6.449942831919896946e+01,5.000000000000000000e-01
4.049814462661743164e+00,6.443987206036314319e+01,5.000000000000000000e-01
4.099947214126586914e+00,6.455898457803479573e+01,5.000000000000000000e-01
4.149888038635253906e+00,6.473765335454227454e+01,5.000000000000000000e-01
4.199892759323120117e+00,6.497587838988557962e+01,5.000000000000000000e-01
4.249826431274414062e+00,6.479720961337810081e+01,5.000000000000000000e-01
4.299866914749145508e+00,6.455898457803479573e+01,5.000000000000000000e-01
4.349838256835937500e+00,6.426120328385566438e+01,5.000000000000000000e-01
4.399734497070312500e+00,6.372519695433324216e+01,5.000000000000000000e-01
4.449822664260864258e+00,6.348697191898993708e+01,5.000000000000000000e-01
4.499803781509399414e+00,6.372519695433324216e+01,5.000000000000000000e-01
4.549963951110839844e+00,6.390386573084072097e+01,5.000000000000000000e-01
4.599838733673095703e+00,6.426120328385567859e+01,5.000000000000000000e-01
4.649807929992675781e+00,6.455898457803479573e+01,5.000000000000000000e-01
4.699943780899047852e+00,6.467809709570644827e+01,5.000000000000000000e-01
4.749960184097290039e+00,6.467809709570643406e+01,5.000000000000000000e-01
4.799896001815795898e+00,6.449942831919896946e+01,5.000000000000000000e-01
4.849785804748535156e+00,6.432075954269149065e+01,5.000000000000000000e-01
4.899705410003662109e+00,6.432075954269149065e+01,5.000000000000000000e-01
4.949859857559204102e+00,6.443987206036314319e+01,5.000000000000000000e-01
4.999850988388061523e+00,6.432075954269149065e+01,5.000000000000000000e-01
5.049792766571044922e+00,6.443987206036314319e+01,5.000000000000000000e-01
5.099799871444702148e+00,6.461854083687060779e+01,5.000000000000000000e-01
5.149792909622192383e+00,6.443987206036314319e+01,5.000000000000000000e-01
5.199928522109985352e+00,6.443987206036314319e+01,5.000000000000000000e-01
5.249922752380371094e+00,6.455898457803479573e+01,5.000000000000000000e-01
5.299792289733886719e+00,6.449942831919896946e+01,5.000000000000000000e-01
5.349785804748535156e+00,6.438031580152730271e+01,5.000000000000000000e-01
5.399793148040771484e+00,6.449942831919895525e+01,5.000000000000000000e-01
5.449943065643310547e+00,6.443987206036314319e+01,5.000000000000000000e-01
5.499825000762939453e+00,6.426120328385567859e+01,5.000000000000000000e-01
5.549856185913085938e+00,6.438031580152733113e+01,5.000000000000000000e-01
5.599797487258911133e+00,6.426120328385566438e+01,5.000000000000000000e-01
5.649865627288818359e+00,6.432075954269149065e+01,5.000000000000000000e-01
5.699884176254272461e+00,6.449942831919896946e+01,5.000000000000000000e-01
5.749731063842773438e+00,6.443987206036312898e+01,5.000000000000000000e-01
5.799839973449707031e+00,6.438031580152730271e+01,5.000000000000000000e-01
5.849705219268798828e+00,6.473765335454227454e+01,5.000000000000000000e-01
5.899925947189331055e+00,6.443987206036314319e+01,5.000000000000000000e-01
5.949835300445556641e+00,6.420164702501983811e+01,5.000000000000000000e-01
5.999826669692993164e+00,6.420164702501983811e+01,5.000000000000000000e-01
6.049791097640991211e+00,6.432075954269149065e+01,5.000000000000000000e-01
6.099896430969238281e+00,6.420164702501985232e+01,5.000000000000000000e-01
6.149906158447265625e+00,6.432075954269149065e+01,5.000000000000000000e-01
6.199818611145019531e+00,6.390386573084070676e+01,5.000000000000000000e-01
6.249769210815429688e+00,6.408253450734819978e+01,5.000000000000000000e-01
6.299832582473754883e+00,6.420164702501985232e+01,5.000000000000000000e-01
6.349903583526611328e+00,6.438031580152731692e+01,5.000000000000000000e-01
